,year,australia,canada,china,india,indonesia,ireland,japan,kenya,new_zealand,pakistan,philippines,scotland,singapore,south_africa,south_korea,taiwan,thailand,united_kingdom,united_states
124,2014,Vic firefighters take dispute to Fair Work,Jill Barker: How to ease a somersaulting stomach.,News Analysis: Row brewing over EP committee jobs,The Chief Minister who ‘lost a golden opportunity’,Megawati denies crying over debate,Newly qualified drivers must show 'N' plate for two years or face fine ,"BC-BC--World-Cup-Digest, BC",Calm reigns in estates as rally is held,Software company seeks funds,KARACHI: Truck loaded with chickens overturned,"Djokovic opens in style, Wawrinka wins at Finals","Independence referendum: Yes and No votes neck and neck as both sides gear up for final day of campaigning, new polls reveal",Golf: Cabrera wins first event since 2009 Masters,Businesses shuttered as strike turns nasty,N.Korea to Send Cheerleaders to Asian Games ,"BC-BC--World-Cup-Digest, BC",2 men sought over Suthin killing,Dolly Parton offers to take home dog found at Glastonbury festival,"Drunken spies, reliable grannies: UK unveils huge spy file cache from KGB defector Mitrokhin"
125,2014,Queensland mums are still smoking during pregnancy,Con man preying on the elderly in Vancouver,Bangladesh's remittance inflow dips to 14.23 bln USD in 2013-14 fiscal year,Base kitchens to come up at New Delhi railway station to improve food quality,Astra Sedaya may issue Rp 2 trillion in bonds,Meadow turns gaze towards British Open after brilliant Masters third ,Boris Diaw is staying in San Antonio,From Raila's office to the venue,Trans-Tasman kayaker delayed by bad weather,KARACHI: Three TTP’s were shot down by police in SITE area of Karachi,Trillanes: Binay is not trustworthy,Leaders: Sustenance for both camps in our ICM poll,World Cup: Brazil players ready to cope in Neymar absence,Court sets 'rules of the game' for SARS audit,Samsung puts Q2 profit at disappointing 7.2 tln won,Boris Diaw is staying in San Antonio,Motorbike taxis played a big part in 2010,Greens accuse Brussels of letting big banks reduce cost of EU safety net,10 tips for the New York City newbie
126,2014,Buyers eager to bid high at auctions as number of listings falls,Drunk grandpa gets driving record.,Dollar trades in lower 102 yen range in early Tokyo deals,Brazil launch Thiago Silva bid as semifinal looms,Missing Artha Graha boss alive in Yogyakarta,Move 'an operational nightmare',Global Lighting breaks ground at Tongluo Science Park,Dozens flee homes after killings,Promising dairy season for the Waikato,Troops in North Waziristan to “eliminate all local and foreign terrorists and their sanctuaries”,IN PHOTOS: All eyes on Bianca Guidotti as PH's Ms. International bet,George Kerevan: The reason size doesn’t matter,New dean for Lee Kong Chian School of Medicine,Tourism could offset sluggish economy,N.K. leader visits family mausoleum marking founder's death anniv.,Global Lighting breaks ground at Tongluo Science Park,Body of 13-year-old girl found near rail track in Prachuap Khiri Khan,Tony Abbott confirms Australia and Japan will sign free trade agreement,Yankees designate Alfonso Soriano for assignment - Newsday
127,2014,60 girls use a clash between Nigerian government forces and militants to escape captors,Boil water advisory issued for Aldergrove,Chinese president Xi Jinping to visit four Latin American countries - People's Daily Online,Kochi is swindlers’ capital of Kerala,Inundated,Lightning's title defence takes blow after defeat to Warriors,"E-commerce sites preparing for summer shopping, Ghost Month",Business stands still in the CBD,Man stabbed to death at Sydney mall,Peshawar blast,World Series of Poker offers $10 million prize,Allan Massie: The UK’s value is immense,Super typhoon Neoguri threatens Japan,Knott-Craig's credibility raises disturbing questions,Samsung Electronics Suffers Armed Robbery at Brazil Factory ,"E-commerce sites preparing for summer shopping, Ghost Month","One dead as strong quake hits Mexico, Guatemala","
	Strikes will close schools... yet Labour backs unions: Shadow Education Secretary refuses to condemn walkout despite worry it will 'inflict real harm' on children
      ",Rare earth opened to Bay Area campers - SFGate
128,2014,Emu Vale overrun with pesky possums,"Jazz Festival: The music's over, but the memories.",Product placement deal transforms into dispute - People's Daily Online,Most rapes committed by people known to victims ,Army chief says tensions flare ahead of poll,Rebels left stunned by headlights of Kerry juggernaut,China holds ceremony to mark China-Japan war,"1 hour ago Matatu driver given Sh500,000 bond",Truck collides with train near Ashburton,"Suicide attack kills six NATO soldiers, 12 others in Afghanistan",3 hurt in bus collision along Edsa,Liverpool 2 Ludogorets 1: Steven Gerrard's injury-time penalty secures victory for Reds on Champions League return,Stefanie Sun shines in first National Stadium gig,"POLITICAL WEEK AHEAD: Labour minister to meet union, employers",Japan to Push for Legislation on Collective Self-Defense All at Once,China holds ceremony to mark China-Japan war,Scientists closer to blood test for Alzheimer's,Drivers 'ignorant' of phone laws,Birthplace of Brazil  independence near WCup city
129,2014,"Clive Palmer labels Premier Newman a ""Nazi""",Oaks winner Lexie Lou takes Queen's Plate at Woodbine Racetrack,Beautiful scenery of Moreton Island - People's Daily Online,Ernakulam tops e-district project; but much to be done,Police mulling release of students,Party-goers lock horns at running of the bulls festival,Capital expenditures pick up in Taiwan’s semiconductor industry,29 minutes ago MPs 'will talk to Cord and Jubilee',"No place for whaling, PM tells Abe","Zuniga a coward for Neymar challenge, slams Silva"," Sharon, KC pay tribute to Elaine Cuneta",Borussia Dortmund 2 Arsenal 0: Gunners Champions League campaign gets off to poor start as Dortmund clinch deserved victory,Contact-less payments gaining popularity,"Nothing flashy, but McLaren does the job",IU gave up college because of bad grades,Capital expenditures pick up in Taiwan’s semiconductor industry,Japanese islanders brace for powerful typhoon,Tour de France riders are forced to dig deep,NO FIREWORKS AT BOX OFFICE ON 4TH OF JULY HOLIDAY
130,2014,Zack Danger Brown raises $5200 on Kickstarter to make potato salad,North Korea's cheering squad to attend Asian Games," 
Writer Ning Caishen released after detention
 ",Steps sought to ensure water flows into Kurichi Tank,"PPATK urges Singapore to take S$10,000 note out of circulation",Coughlan's rescue mission to sun spot for son,"E-commerce sites preparing for summer shopping, Ghost Month",Kidero skips Cord event at Uhuru Park,Farms get quake rules exemption,ISLAMABAD: IMF has stiffer new conditions to release the next tranche of the bailout,Fire hits Maguindanao town public market,Russell hails impact of ‘magician’ Niko Matawalu,Booking giant Expedia bids for Australia's Wotif.com,Poor returns by South African teams in Super Rugby logs are a disgrace,Music Video Marking Papal Visit Disclosed ,"E-commerce sites preparing for summer shopping, Ghost Month","SET index opens up 7.03 pts, 0.47 pct",Nibali in yellow after late burst in Sheffield,Jewel Instagrams 4th Of July Pic With Her Soon-To-Be-Ex & Her Son
131,2014,Brazil working overtime to get star striker Neymar fit for World Cup final if host nation makes it,North Korea's cheering squad to attend Asian Games,People visit Memorial Hall of Victims in Nanjing Massacre by Japanese Invaders - People's Daily Online,What the average Malayali loves to read,Citizen journalism: Be a public eye,Defensive solidity puts Kerry on road to a long summer,U.S. dollar down in early Taipei trading,Nigeria police uncover plot to bomb school,Cyclist's husband didn't hear truck coming,The suspect had gone into the victim’s house in Jagal village to rape,Flash floods hit Kidapawan City,Alan Solomons: Positive start despite Connacht loss,2 in 3 S'pore residents experienced bad service in past 6 months: Survey,ECONOMIC WEEK AHEAD: Mining data will provide clues about growth,"Typhoon Neoguri Moving Upward; S. Korea Expects Rain, Wind",U.S. dollar down in early Taipei trading,"Japan on highest typhoon alert, 480,000 urged to take shelter",Willian prepares to take on role of talisman,Roundup
132,2014,DJs urges shareholders to support Woolworths takeover,Harrison Ford injury to halt production on Star.," 
Shanghai hosts auction of Karl Marx's letter
 ",Strings attached to kite-flying in Kochi,Ahok criticized for delayed bus purchases,Daredevil acrobats fly high on a wing and a prayer ,ASE ramps up recruitment for Apple products,"Offices, vehicle burnt as gang attacks ranch in Lamu",Young farmer winner back to work,Russian accused of hacking US retailers held for trial,Suspected drug dealers summarily executed,Scott Brown hoping for prosperous trip to Salzburg,Indonesians face stark choice in pivotal presidential vote,Virtual currency just a lot of hot airtime?,"Ha Ji-won, Gong Yoo Named Tax Service Ambassadors ",ASE ramps up recruitment for Apple products,Thirteen nations to compete in Thailand karate-do open,"
	GPs 'doling out antibiotics to please patients': Family doctors handing out drugs to achieve a 'placebo effect' is fuelling growth in resistance
      ",TN Lottery
133,2014,Construction sector grows after surprise run,Toronto man shot early Sunday remembered as trying to clean up his life,Australia tops global list of recreational drug users,Brazil ready to cope with Neymar’s absence,City to close school to make way for street,Battle-hardened Kilkenny show major title credentials,Cab drivers at MOTC protest over fare rates,39 minutes ago Nothing to celebrate as South Sudan marks independence,Heroic cops praised by Commissioner,Military jets bombardment crush 13 more terrorists in North Waziristan,DOLE chief: UK needs more Filipino nurses,Rangers 1 Inverness 0: Lewis Macleod's late strike seals victory for Gers and books third round place in League Cup,Philippines university sorry for Imelda Marcos visit,Djokovic defies partisan fans to win Wimbledon title,Robbers grab $36 million Samsung electronics in Brazil,Cab drivers at MOTC protest over fare rates,Eight injured in the latest attack in Yala,"
	Do you consume more than six drinks in one sitting at least once a month? And do you regret a drunken incident in the past year? Two questions that tell your GP you have a drink problem
      ",2nd girl dies after dresser falls on young sisters
134,2014,Miley Cyrus gets tattoo of late dog,Vancouver creates new agency to increase affordable rental housing,China marks 77th anniversary of start of anti-Japan war,"Chitradurga synchrotron is down, but not out: IISc.",Your letters: Tax on cell phones,"'A lot of riders had a few close shaves with the spectators, while some guys actually hit them'",China's Xi commemorates start of war with Japan,26 minutes ago Nairobi to get special police unit,Heavy weather on way for North Island,ISLAMABAD: (ECP) has decided to make a copy of Imran Khan’s nomination paper.,LeBron's triple-double leads Cavs past Pelicans,Galliford Try boss to retire after record profits,N Korea to send cheerleaders to Incheon Asian Games,The strike that could bring SA to its knees,"Abalone, Peaches Surge in Popularity Amid Hot Weather",China's Xi commemorates start of war with Japan,Cambodian charity school allegedly pimped out students to donors,"
	Parents blame violent porn for murder of daughter, 17: Couple tell of anger at how easy it is to find extreme content online
      ",Coastal California town sold for undisclosed price
135,2014,Ignore hype and clear Gerard: defence,Monday Calendar: July 7-13," 
Bus arson suspect among injured passengers
 ",Three arrested for attempt to murder ,Are ASEAN militaries ready to cooperate?,€245k price tag on Alpine village – but there's a snag,Typhoon Neoguri forecast to bring showers,13 minutes ago Eight wounded in Arusha bomb blast,Stab victim's condition improves,Dildar’s brother Shahnawaz Khan had come to see the airport security,PDEA destroys P2.25B worth of shabu in Cavite,Sales figures showing optimism for Scots shops,Military helicopter crashes in Hanoi,Competition Commission to lift the veil on panel beater raids,"Mountain Valleys at Mt. Jiri, Great Summer Destinations to Beat the Heat",Typhoon Neoguri forecast to bring showers,Bangkok vows to reclaim top tourist destination title,"
	Children aged eight can have their own Mastercard: Debit cards can be topped up by parents for their offspring to use
      ","Di Maria ruled out, Brazil try to get Thiago Silva back"
136,2014,UNESCO calls for crackdown on artefact trafficking to protect Pacific culture,"Child immigrant crisis has Obama administration facing legal, political hurdles","DPRK calls for ending confrontation, improving north-south ties - People's Daily Online",Australian govt returns asylum seekers to Sri Lanka,Your letters: The debate and saga of academics,Hard to fault tracks for following money,"China, Germany in auto, aircraft deals as Merkel visits","13 minutes ago Police probe 5,752 irregular Kenya citizenship cases",Community gathers at marae to mourn teenage rugby player,World Cup tickets official arrested over illegal sales,Oil extend losses on dim prospects of OPEC output cut,Jo Love insists Scots won’t fail in World Cup bid,Missing Singaporean in Cambodia found: MFA,Gold Fields tackles doubts over South Deep,Eunhyuk: f(x) are breathtakingly pretty,"China, Germany in auto, aircraft deals as Merkel visits",Special holiday for banks,"
	Clarifications and corrections
      ",NYC firefighters: 'He died a hero'
137,2014,WA Police’s South-East metro model ‘carries the load’,Vietnam helicopter crash kills 16 military personnel during training,Women for Expo website shoots for 1 mn recipes - People's Daily Online,64 Govt. schools to get RO plants,Comments: Ahok begins historic Ramadhan mosque visits,Kenny facing uphill struggle to get into Brooks' shows,CIB makes 2 arrests in raid on drug factory in New Taipei City area,10 minutes ago Kimunya charged afresh in land fraud case,Maritime NZ delays Aratere freight sailings,LAHORE: Police Failed to submit the record of the lawsuit filed against Gullu Butt,Landbank 9-month net income down 11%,COMMENT: Mixed economic messages | Asos out of fashion,China's Xi commemorates start of war with Japan,Rules for unlisted derivatives released,Tang Wei and Kim Tae-young spotted on summer night date,CIB makes 2 arrests in raid on drug factory in New Taipei City area,Powerful typhoon Neoguri lashes Japan's Okinawa islands,PM's antibiotics plan 'not enough',Kemp's 4 hits leads Dodgers past Rockies 8-2
138,2014,Qld premier won't be changing his style,Justice Minister Peter MacKay to kick off testimony on new prostitution laws at marathon round of hearings,Francesco Piccolo wins Strega Prize - People's Daily Online,Statue of Shanmukham Chetty unveiled,Comments: 'Harsh orientation part of school tradition',Google does U-turn on some deleted links in 'Right to be Forgotten' cases,Researchers reveal latest discovery of new species of prehistoric 'fairy shrimp',Mutua in court bid to stop EACC summons,Brownlee denies 'doughnut effect' in Christchurch,"LAHORE: Federal regime has neglected to provide justice, Elahi",Pirate Bay co-founder released from prison,Vincent Kompany sets sights on Champions League, Bus services affected due to National Day National Education Show,Negative news fails to stop all-time a.,Kim In-kyung Wins Masters in England,Researchers reveal latest discovery of new species of prehistoric 'fairy shrimp',Democrat proposes ec be empowered to set election date,Graduate jobs 'at pre-downturn peak',Hartford Remembers the 1944 Circus Fire
139,2014,Video: Fernando Alonso and Sebastian Vettel’s heart-stopping duel for fifth in British Grand Prix,"First Nations, environmentalist groups take Yukon government to court over land-claim settlements",100-ton whale found dead on New Zealand beach,"‘Important cities, towns in Karnataka lack connectivity to Bangalore’",Your letters: Building confidence through speech,"Kenny, Cameron urge calm as marching season begins",Security measures will remain unchanged for US flights: CAA,"MRC deny role in Lamu, Tana Delta killings",Tauranga officer hailed as 'hero',"MULTAN: A thief, who had stolen a laptop, caught through Facebook.",Purisima’s 10-ha property in Batangas? bared but PNP chief says not,Bradley Neil relieved at Junior Ryder Cup chance,Thai junta targets taxi mafia gangs,Another asylum-seeker sets himself on fire in Aus,"Korea, China to Sign MOU to Strengthen Smog Monitoring",Security measures will remain unchanged for US flights: CAA,'iPhone rock' to be dealt with,"
	Airports facing chaos after US declares it wont allow uncharged cellphones or laptops onto flights bound for America... with iPhones and Galaxy's at top of the hit list
      ",Asian stocks lower ahead of US earnings
140,2014,Women unfairly 'punished' for being pretty,Deltron 3030 ends Jazz Festival with a futuristic.,China marks 77th anniversary of start of anti-Japan war - People's Daily Online,Neymar injury could help Brazil: Schweinsteiger ,Text your say: Life in prison for Akil Mochtar,Clare could appeal Collins' 'harsh' red card,AIDS ranks 10th as killer of young adults,Reprieve for Waiganjo as court drops car theft case,Drugs jury asks about majority verdict,RAWALPINDI: 13 militants killed and destroyed their seven hideouts.,"Rose returns, helps Bulls beat Pistons 102-91",On this day: Camp David peace deal,Golf: Japan's 'Tiger' on the prowl again after ending drought,Australia marks six months with no boatpeople,Apple Recruits Another Swiss Watch Executive Amid Smartwatch Rumors,AIDS ranks 10th as killer of young adults,"SET index ends up 4.37 pts, 0.29 pct",Brazil: Loss of Neymar is hard but we are ready to face Germany – video,Kemp's 4 hits leads Dodgers past Rockies 8-2
141,2014,Man fined after his load hits bridge,"A year later, Lac-Megantic mayor urges town to turn page on 'horror' of disaster",Farnborough International Airshow: Worth a visit - People's Daily Online,Rock band Pink Floyd to release new album this year ,New vendor system gets mixed reactions,Bruton stands over Hogan's decision to appoint 'coalition cronies',"Ko prompts Lien to stick to NT$80 mil. budget, stay 'sincere'","2 hours ago Police probe 5,752 irregular Kenya citizenship cases",Severe weather warning issued,SAN FRANCISCO: Samsung Electronics Co Ltd issued unexpectedly weak quarterly earnings,Hackers could trick way into Apple gadgets: researcher,Asos profit held back by hefty investment,Golf: Cabrera wins first event since 2009 Masters,Sisi says he wishes Al Jazeera journalists were not tried,Korea Has 2nd Most Traffic Accident Deaths in OECD,"Ko prompts Lien to stick to NT$80 mil. budget, stay 'sincere'",Junta to organise 'happiness returning' activities at Sanam Luang,"
	Why geeks do better in life than cool kids: Less popular teenagers regularly outperform their peers by the time they reach adulthood
      ",Aristocrat Leisure to buy US slot machine maker VGT for $1.28billion
142,2014,Truck crashes into home in NSW's Hunter,Jessica Simpson marries retired NFL player Eric Johnson; their 2 kids participated in wedding,Japan frays nerves of neighboring countries - People's Daily Online,VS visits controversial site ,Comments: Threats might occur after election: SBY,Liverpool to keep up summer spending spree with £25m swoop for Markovic,Cruise to improve Taiwan-Philippine relations a success,IEBC chiefs fault petition on their ouster,Housing market slows but values still rising,ECP has resolved to offer a copies of the nomination papers of PTI,Peso moves sideways midday Tuesday,Paul Lawrie ready to play Ryder Cup cheerleader,Whaling dominates Japan PM's New Zealand trip,Exxaro Resources: Miner dies in rock f.,Lawmaker Suspects N. Korea Stole Interphone at S. Korean GP,Cruise to improve Taiwan-Philippine relations a success,Construction of police stations to go ahead,"
	STEPHEN GLOVER: Growing scandal must merit a proper inquiry
      ","Padres right-hander Tyson Ross receives his first All-Star berth, but bullpen snubbed. | UTSanDiego.com"
143,2014,Australia see modestly positive opening to sharemarket,Afghan candidates in last minute talks to defuse election crisis,Veterans highlight July 4 parade in San Jose - People's Daily Online,Porn peddlers target schools ,Issue of the day: Filing for arbitration on ore export ban,Gilmore's tax claims rejected ,Learning from severed ties with ex-African ally,Mutua in court bid to stop EACC summons,Police patrols continue in Oamaru following sheep slaughter,Loan J N Nroves agriculture sector of Sindh – WB,PHOTOS: A look at the world's abandoned places,"Obituary: David Haines, British aid worker","Indonesia urges Singapore to withdraw all $10,000 notes: Report",Oscar re-enactment only broadcast in Australia,Consumers Sue Carmakers for Exaggerating Gas Mileage ,Learning from severed ties with ex-African ally,Moderate 5.6 quake hits northern Japan,Liverpool reported to be closing in on Benfica forward Lazar Markovic,"San Francisco Giants' Hunter Pence, Madison Bumgarner are All-Stars"
144,2014,Yellow jersey not enough for Tour de France kiss,Harrison Ford injury to halt production on 'Star Wars: Episode VII' for 2 weeks,Pacific traditional culture under threat: UNESCO,Boundary demarcation of Vellayani Lake over ,Citilink eyeing up Tigerair Mandala's former routes,Mystery winner scoops area's fourth multi-million jackpot,HTC celebrates excellent sales results for May,"Police arrest 45 over Lamu, Tana Delta killings",Govt workers returning to central city,ISLAMABAD: Syed Khursheed Shah has come up with a requirement for complete authority to the CEC.,Wendy’s Philippines wins Best Marketer with the #Wedeservethis campaign,Sutton: Don’t judge Tonev before racism probe,Mohamed Dionne named new Senegal prime minister,Nxasana told about inquiry: Presidency,Japan to Hold Pro Wrestling Exhibition in N.Korea,HTC celebrates excellent sales results for May,Head of Vatican bank ousted after only 16 months in office,"Cave coins found after 2,000 years","Orioles blow lead, beat Red Sox 7-6 in 12 innings"
145,2014,Egypt’s President says he regrets the damage done to his country by the trial of Peter Greste and his Al Jazeera colleagues,Attempt to pull jet fuselages from U.S. river going 'extremely slow'," 
Xi to visit four Latin American countries
 ",Ties with BJP will continue: KMDK ,Homecoming,Mental health group's plea to UN over visits ,Argentina's fans roar during World Cup viewing at local bar,Al-Shabaab launch attack on Somalia's presidential palace,Fallopian tube removed unnecessarily,Prime Minister Azad Jammu and Kashmir (AJK) Chaudhary Abdul Majeed saw Raheel Sharif,DBM releases P50M for repatriation of OFWs in ‘troubled Middle East’,Jose Mourinho: Eden Hazard can be a true great,Jessica Simpson weds ex-NFL player Eric Johnson,Sun International: Striking workers g .,"Samsung Puts 2Q Op Profit at 7.2 Trillion Won, Down 24% from Year Ago",Argentina's fans roar during World Cup viewing at local bar,Myanmar gems emporium takes record 3 billion dollars,Traditional strikers out of fashion in Brazil - Shearer,Self-Appointed ‘Caliph’ Makes First Public Appearance as Top Islamists Reject ISIS Caliphate Call
146,2014,"State of Origin: Queensland coach Mal Meninga refuses to complete media duties, sends Cam Smith",Attempts to pull Boeing fuselages from Montana river going 'extremely slow',Xi commemorates start of anti-Japan war,Rupee down 13 paise against dollar in early trade,'Saraswati': Culture in Action,Revellers party all night at alcohol-free gig ,Chu up for re-election amid criticism from DPP,MPs take Mututho to task over war on alcohol abuse,Gene test to pinpoint addictions,Chaudhry Nisar resumes Interior Ministry tasks?,DOJ approves filing of raps vs 6 Chinese nabbed in Tarlac drug bust,"Obituary: James Masson, soldier and forestry expert","Petronas, Boustead, Deftech to provide high-tech equipment for MH370 search",Hamilton gives his fans the win they wanted,Ukrainian Baduk Player Lands 1st Professional Win,Chu up for re-election amid criticism from DPP,Klose claims record in Germany's mauling of Brazil,"
	'Granny spy rated higher than Philby': Woman who worked as clerk for firm involved in building British atomic bomb was considered more important than infamous traitor
      ",Rival Athletes Motivate Each Other To Perform Their Best; The Psychology Of Competition
147,2014,Liberals' Parry elected Senate president,Revamping Copenhagen's red-light district,"Xi to attend BRICS summit, visit Latin America",Scolari puts his name on the line,MY GADGET: Marischka Prudence: And away we go.,Top Tory Brittan is quizzed by police over rape claim,Two TRA technicians die in train accident,22 minutes ago Top leaders explain Saba Saba absence,Auckland's future funding discussed,Sony Xperia C3 world’s most selfie-obsessed smartphone confirmed,Pacers beat Jazz 97-86 to end 6-game skid,Adrian Peterson poised for Minnesota Vikings return,"Smartphones, electronics to get closer US airport checks",Namibia aims to rely less on De Beers .,Gov't Mulls Raising Duty-Free Allowance,Two TRA technicians die in train accident,Withai urges netizens to cancel planned rally,"
	Cap number of migrants from poor EU states, urge top Tories: Limits could be introduced as part of a renegotiation with Europe
      ",Your Fast Food Diet Might End Up Hurting Your Kids; Dietary Habits Are Passed Down In DNA
148,2014,Teens charged over Perth tomahawk rampage,Travel writer helps fight violence against women in Swaziland,Xi unveils anti-Japan war sculpture,"Sensex breaches 26,000-mark; Nifty at record-high of 7,787.95",Guess what?: Bunga owes career to a rock band,Saoirse's blast from the past,Rotary International has first Taiwanese president,Most teens use phones for calls,Major cuts in Auckland Council's 10-year budget,AT&T announce to Lunch LG G3 and G watch on July 11,Suicide bomber kills 48 students in Nigeria,Business leaders: No vote best way to boost jobs,"16 dead, 5 injured in Vietnam helicopter crash",Crime: Law firm officer faces theft ca.,Pyongyang 'Has Call-Order Taxi Service',Rotary International has first Taiwanese president,Malaysian shopkeeper sentenced to death for murder of French tourist,World Cup quiz and other ways to fill a rest day,"School Sports May Be A Good Preventive Treatment For Depression, Stress In Teens"
149,2014,AFL draft regrets — which stars could have been at your club?,"Motorcycle accident leaves one dead, one injured in Franklin",Nobody can change history: Xi,Why the Chennai building collapse should give Delhi a sinking feeling,Race to the finish,Callanan throws the shackles off to ease Tipp's pain,NYC doctor to be released after Ebola recovery,30 minutes ago IEBC bosses deny bungling 2013 poll,Defense blames 'idiosyncratic intoxication' for stabbing,Hamas says fired rockets at 2 Israeli army bases,Woman survives massacre in Sultan Kudarat,Analysis: John Curtice on the latest ICM poll,Afghan election candidate set to reject result,Mining: Billiton nickel draws bidders,Heat Wave to Continue This Week,NYC doctor to be released after Ebola recovery,Typhoon Neoguri bears down on Japanese mainland,Indigenous Australians in wartime: it's time to tell the whole story,New A’s pitcher Jeff Samardzija makes All-Star team for Cubs
150,2014,Recall Holdings considers real estate investment trust in US,"Lives Lived: James Laurence Fitzpatrick, 82",Netanyahu orders demolition of homes of Palestinian attackers,US judge rejects BP bid to oust Gulf spill claims chief,Deputy Slots in House Committees Added to Appease Minority Coalition,EastEnders gig for One Direction,2 endangered California condors sent to Mexico zoo,Uhuru in Zambia for Sata's burial,Moment of remembrance,"Four soldiers, 24 militants killed in Orakzai, Bara",KBP: Debate was Binay's idea,Suzie McGuire trial:‘DJ had affair while pregnant’,Hackers could trick way into Apple gadgets: Researcher,Zambians hold a memorial service for President Sata,"Dollar opens at 1,088.9 won UP from 1,085.0 won",2 endangered California condors sent to Mexico zoo,Thai AirAsia posts static Q3 load factor,Chris Smalling | The Gallery,"Power & Utilities M&A Set to Grow Amid Hunt for Returns, EY Says"
151,2014,No 'shirtfront': Abbott keeps it nice with Putin,Luka Magnotta diagnosed paranoid schizophrenic decade before killing,"China welcomes ""friends and neighbors"" from APEC with fashi.",Pawar-play on Show as Fadnavis Government Braces for Trust Vote,Anies Asks for Outside Scrutiny of New Curriculum,EastEnders gig for One Direction,UN welcomes first food convoy from Sudan to SSudan,Rwanda prayer group gets five years for sedition,My classroom is private - teacher,PM expresses grief over Khairpur road accident,PSBank nets P1.9 billion in 9 months,Republic boss Martin O'Neil says Aiden McGeady can handle any abuse the Parkhead crowd throw at the Scot,UN chief sets up Gaza inquiry,US releases low 2015 Obamacare enrolment forecast,Tuesday's weather forecast,UN welcomes first food convoy from Sudan to SSudan,Toxic waste estate may go to state land,Children In Need 2014: One Direction to perform from EastEnders set,Davos-Man Ackermann Lured to Cyprus Bank by Billionaires
152,2014,"Australian coal, oil and gas companies receive $4b in subsidies: report",Canadian Armed Forces name operating bases after slain soldiers,"China's inflation remains at 4-year low, factory contraction continues - People's Daily Online",Bring Reforms in Higher Defence Management,Geldof to fire up charity hit 30 years on to fight ebola,Packham slams bushtucker trials,NYC doctor to be released after Ebola recovery,Kenya's diaspora affairs director moved to Middle East division,APEC leaders gather for final talks,LUMS apologizes for cancelling Asad Umar’s talk,"Hawks win again, deal Knicks 5th straight loss",Read Ruth Davidson's attack on the homophobic cowards who taunt and bully in ignorance,S Korea halts search for bodies from sunken ferry,Lonmin supports Ramaphosas actions during Marikana strike,KOSDAQ 541.62 UP 2.40 points open,NYC doctor to be released after Ebola recovery,Inmate DNA culled to clear ID doubts,"
	Letter from Lord Steel
      ",Secret Service discloses 40 barrier-jumping incidents
153,2014,Police issue desperate plea to locate family of boy found wandering in Brisbane,'Q' producer leaving CBC show in wake of Jian Ghomeshi scandal,Three receive 2014 Chinese-Hungarian Friendship awards,'One in Three Indian Youth Cyberbullied',Govt to resume graft-ridden e-ID project,UN Secretary General to set up Gaza inquiry,All-star cast honors Clinton for jazz advocacy,World: South Korea ends search of doomed ferry as verdicts due,Bars deny trading drinks for support,"President, ISI chief discuss security matters",Microsoft drops Nokia name with newest Lumia phone,Proud Chapelhall couple celebrate golden wedding anniversary with family,Bigger proportion of students admitted to post-secondary schools,Trail-runner Ryan Sandes shares his opinion on barefoot running shoes,"KOSPI 1,957.87 DN 0.36 points open",All-star cast honors Clinton for jazz advocacy,"Gold prices down B200 to B18,000",Scottish castle on market for £500k ,Will we elect a 'hawk' president in 2016?
154,2014,Aust response to Pell queried at UN,Senators forward Kyle Turris tries some homecooking to get ready for Canucks,Luuk de Jong called into Dutch squad,New Regulatory Norms Seek to Lift NBFCs to Global Standards,Police officer fired for selling ammo,Ebola recovery medic to be released,"Meryl Streep, Stevie Wonder get Medal of Freedom",Asia: South Korea ends search of doomed ferry as verdicts due,"Pounamu, manaia taonga prison ban",No arrests for possession of 25 gram or less marijuana in New York,Slow-moving lava sets house ablaze in Hawaii town,Steven Fletcher admits he thought his international dream ended when Craig Levein feud broke out,Bodies of S’poreans killed in KL crash brought home,Lesotho 'coup leader' accused of breaking peace deal,Seoul shares open lower on Chinese uncertainties,"Meryl Streep, Stevie Wonder get Medal of Freedom",SET up 1.66 points at opening,WWII veteran mugged for £2 ,9/11 accused said to refuse Guantánamo mental exam
155,2014,Wales lock Jake Ball listed as ‘Jake Ballsack’ on BBC Sport website,Executive producer leaves CBC's 'Q' in wake of Jian Ghomeshi scandal," 
Xi hails regional trade move
 ",Willing Suspension of Disbelief over Rats,"City to prohibit overseas field trips, hotel events",Ebola nurse free from quarantine,NYC doctor to be released after Ebola recovery,Readers Lounge: Quick tips to keep your lips soft and beautiful,Cop's lewd shower film,Sterilization surgery leaves eight women dead in India,Bong Revilla seeks overnight checkup at St. Luke’s,Owen Coyle emerges as a favourite to replace Stuart McCall as Motherwell manager at Firpark,Obama seeks to break stalemate on TPP talks,DJ's girlfriend had 'horrendous wounds',Samsung Wins Korean Series Baseball Championship,NYC doctor to be released after Ebola recovery,Ranger wounded by bomb in Pattani,"Sudoku 2,965 medium",Ben Stein: I'm Terrified by Ignorant Obama Intentionally Dividing America on Race
